starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:49:36 2022	1653173376	1	26	26	25
Sun May 22 00:49:39 2022	1653173379	1	26	26	25
Sun May 22 00:50:03 2022	1653173403	1	25	26	25
Sun May 22 00:50:07 2022	1653173407	1	26	26	25
Sun May 22 00:49:49 2022	1653173389	1	26	26	23
Sun May 22 00:49:22 2022	1653173362	1	26	26	24
Sun May 22 00:49:54 2022	1653173394	1	25	26	24
Sun May 22 00:49:44 2022	1653173384	1	26	26	26
Sun May 22 00:49:35 2022	1653173375	1	26	26	25
Sun May 22 00:49:47 2022	1653173387	1	26	26	25
Sun May 22 00:49:14 2022	1653173354	1	26	26	25
Sun May 22 00:49:48 2022	1653173388	1	26	26	24
Sun May 22 00:49:13 2022	1653173353	1	26	27	25
Sun May 22 00:49:33 2022	1653173373	1	26	27	25
Sun May 22 00:49:39 2022	1653173379	1	26	27	25
Sun May 22 00:49:42 2022	1653173382	1	25	27	25
Sun May 22 00:49:34 2022	1653173374	1	26	27	25
Sun May 22 00:49:25 2022	1653173365	1	26	27	25
Sun May 22 00:49:40 2022	1653173380	1	26	27	25
Sun May 22 00:49:44 2022	1653173384	1	26	27	23
Sun May 22 00:49:44 2022	1653173384	1	26	27	25
Sun May 22 00:49:45 2022	1653173385	1	26	27	24
Sun May 22 00:49:51 2022	1653173391	1	26	27	25
Sun May 22 00:49:26 2022	1653173366	1	25	27	25
Sun May 22 00:49:58 2022	1653173398	1	26	27	25
Sun May 22 00:49:54 2022	1653173394	1	26	27	25
Sun May 22 00:49:26 2022	1653173366	1	26	27	25
Sun May 22 00:49:49 2022	1653173389	1	26	27	25
Sun May 22 00:49:11 2022	1653173351	1	26	27	25
Sun May 22 00:49:32 2022	1653173372	1	26	27	25
Sun May 22 00:49:45 2022	1653173385	1	26	27	25
Sun May 22 00:49:19 2022	1653173359	1	26	27	25
Sun May 22 00:49:10 2022	1653173350	2	24	27	24
Sun May 22 00:50:02 2022	1653173402	1	26	27	25
Sun May 22 00:49:54 2022	1653173394	1	26	27	25
Sun May 22 00:49:59 2022	1653173399	1	26	27	25
Sun May 22 00:49:57 2022	1653173397	1	26	27	25
Sun May 22 00:49:17 2022	1653173357	1	26	27	26
Sun May 22 00:50:01 2022	1653173401	1	26	27	19
Sun May 22 00:49:55 2022	1653173395	1	26	27	25
Sun May 22 00:49:45 2022	1653173385	1	26	27	25
Sun May 22 00:49:24 2022	1653173364	1	26	27	25
Sun May 22 00:49:20 2022	1653173360	1	26	27	23
Sun May 22 00:49:34 2022	1653173374	1	26	27	25
Sun May 22 00:49:24 2022	1653173364	1	26	27	26
Sun May 22 00:49:41 2022	1653173381	1	26	27	25
Sun May 22 00:49:15 2022	1653173355	1	26	27	24
Sun May 22 00:49:40 2022	1653173380	1	26	27	25
Sun May 22 00:49:31 2022	1653173371	1	26	27	25
Sun May 22 00:50:06 2022	1653173406	0	26	27	26
Sun May 22 00:49:49 2022	1653173389	1	26	27	25
Sun May 22 00:49:23 2022	1653173363	1	26	27	26
Sun May 22 00:49:12 2022	1653173352	1	26	27	26
Sun May 22 00:49:31 2022	1653173371	1	26	27	24
Sun May 22 00:49:48 2022	1653173388	1	26	27	24
Sun May 22 00:49:30 2022	1653173370	1	26	27	25
Sun May 22 00:49:17 2022	1653173357	1	26	27	26
Sun May 22 00:49:38 2022	1653173378	0	27	27	25
Sun May 22 00:50:02 2022	1653173402	1	26	27	25
Sun May 22 00:49:12 2022	1653173352	1	26	27	25
Sun May 22 00:49:44 2022	1653173384	1	26	27	25
Sun May 22 00:50:03 2022	1653173403	1	26	27	25
Sun May 22 00:49:20 2022	1653173360	1	26	27	25
Sun May 22 00:49:52 2022	1653173392	1	26	27	25
Sun May 22 00:49:44 2022	1653173384	1	26	27	25
Sun May 22 00:49:56 2022	1653173396	1	27	27	26
Sun May 22 00:49:35 2022	1653173375	1	26	27	26
Sun May 22 00:49:59 2022	1653173399	0	27	27	25
Sun May 22 00:49:14 2022	1653173354	1	26	27	26
Sun May 22 00:49:25 2022	1653173365	1	26	27	26
Sun May 22 00:50:00 2022	1653173400	1	26	27	26
Sun May 22 00:49:25 2022	1653173365	1	27	27	26
Sun May 22 00:49:21 2022	1653173361	1	26	27	25
Sun May 22 00:50:06 2022	1653173406	1	26	27	26
Sun May 22 00:49:42 2022	1653173382	1	26	27	26
Sun May 22 00:50:02 2022	1653173402	1	26	27	25
Sun May 22 00:49:29 2022	1653173369	1	26	27	26
Sun May 22 00:49:32 2022	1653173372	1	26	27	25
Sun May 22 00:49:12 2022	1653173352	1	27	27	25
Sun May 22 00:49:52 2022	1653173392	2	26	27	24
Sun May 22 00:49:30 2022	1653173370	1	26	27	25
Sun May 22 00:50:00 2022	1653173400	1	26	27	26
Sun May 22 00:50:03 2022	1653173403	1	27	27	26
Sun May 22 00:49:29 2022	1653173369	1	27	27	26
Sun May 22 00:49:21 2022	1653173361	1	26	27	26
Sun May 22 00:49:15 2022	1653173355	1	26	27	25
Sun May 22 00:49:51 2022	1653173391	1	26	27	25
Sun May 22 00:50:06 2022	1653173406	1	26	27	25
Sun May 22 00:49:47 2022	1653173387	1	26	27	26
Sun May 22 00:49:31 2022	1653173371	1	26	27	25
Sun May 22 00:50:06 2022	1653173406	1	26	27	25
Sun May 22 00:49:15 2022	1653173355	1	27	27	25
Sun May 22 00:49:45 2022	1653173385	1	26	27	25
Sun May 22 00:49:20 2022	1653173360	1	26	27	25
Sun May 22 00:49:14 2022	1653173354	1	27	27	26
Sun May 22 00:49:12 2022	1653173352	1	27	27	24
Sun May 22 00:50:03 2022	1653173403	1	27	27	26
Sun May 22 00:49:33 2022	1653173373	1	26	27	26
Sun May 22 00:49:36 2022	1653173376	1	26	27	26
Sun May 22 00:50:04 2022	1653173404	1	26	27	25
Sun May 22 00:49:13 2022	1653173353	1	27	27	26
Sun May 22 00:49:46 2022	1653173386	1	26	27	25
Sun May 22 00:50:05 2022	1653173405	1	26	27	25
Sun May 22 00:50:07 2022	1653173407	1	27	27	26
Sun May 22 00:49:25 2022	1653173365	0	27	27	26
Sun May 22 00:49:35 2022	1653173375	1	27	27	26
Sun May 22 00:49:30 2022	1653173370	0	27	27	26
Sun May 22 00:49:24 2022	1653173364	1	26	27	25
Sun May 22 00:49:37 2022	1653173377	1	27	27	26
Sun May 22 00:49:16 2022	1653173356	1	27	27	25
Sun May 22 00:49:34 2022	1653173374	1	27	27	25
Sun May 22 00:49:43 2022	1653173383	1	26	27	25
Sun May 22 00:49:19 2022	1653173359	1	27	27	26
Sun May 22 00:49:48 2022	1653173388	1	27	27	26
Sun May 22 00:49:21 2022	1653173361	1	27	27	26
Sun May 22 00:50:01 2022	1653173401	1	27	27	25
Sun May 22 00:49:13 2022	1653173353	1	27	27	26
Sun May 22 00:49:13 2022	1653173353	1	27	27	26
Sun May 22 00:49:58 2022	1653173398	1	27	27	25
Sun May 22 00:50:00 2022	1653173400	1	27	27	27
Sun May 22 00:49:24 2022	1653173364	1	27	27	26
Sun May 22 00:49:30 2022	1653173370	1	27	27	26
Sun May 22 00:49:23 2022	1653173363	1	27	27	26
Sun May 22 00:49:36 2022	1653173376	1	27	27	26
Sun May 22 00:49:28 2022	1653173368	1	27	27	25
Sun May 22 00:49:24 2022	1653173364	1	27	27	26
Sun May 22 00:49:29 2022	1653173369	0	27	27	26
Sun May 22 00:49:56 2022	1653173396	1	27	28	26
Sun May 22 00:49:35 2022	1653173375	1	27	28	26
Sun May 22 00:50:01 2022	1653173401	1	26	28	20
Sun May 22 00:49:14 2022	1653173354	1	27	28	26
