starttime	seconds	ctime	dtime	ttime	wait
Sun May 22 00:34:56 2022	1653172496	1	53	54	52
Sun May 22 00:35:10 2022	1653172510	1	53	54	52
Sun May 22 00:35:05 2022	1653172505	1	53	54	53
Sun May 22 00:34:43 2022	1653172483	1	53	54	52
Sun May 22 00:35:01 2022	1653172501	1	53	54	53
Sun May 22 00:34:56 2022	1653172496	1	54	54	53
Sun May 22 00:34:58 2022	1653172498	1	53	54	52
Sun May 22 00:35:25 2022	1653172525	1	54	54	53
Sun May 22 00:34:56 2022	1653172496	1	54	54	52
Sun May 22 00:34:58 2022	1653172498	2	52	54	51
Sun May 22 00:35:08 2022	1653172508	1	54	54	53
Sun May 22 00:35:20 2022	1653172520	1	53	54	52
Sun May 22 00:35:09 2022	1653172509	1	53	54	52
Sun May 22 00:35:23 2022	1653172523	1	53	54	52
Sun May 22 00:34:54 2022	1653172494	1	54	54	53
Sun May 22 00:35:25 2022	1653172525	1	54	54	53
Sun May 22 00:35:24 2022	1653172524	1	54	54	53
Sun May 22 00:34:54 2022	1653172494	1	53	54	53
Sun May 22 00:35:33 2022	1653172533	1	53	54	52
Sun May 22 00:35:25 2022	1653172525	1	54	54	53
Sun May 22 00:34:53 2022	1653172493	1	54	54	52
Sun May 22 00:35:02 2022	1653172502	1	54	54	53
Sun May 22 00:35:12 2022	1653172512	1	54	54	54
Sun May 22 00:35:28 2022	1653172528	1	54	54	53
Sun May 22 00:35:04 2022	1653172504	1	54	54	53
Sun May 22 00:34:54 2022	1653172494	1	54	54	52
Sun May 22 00:35:33 2022	1653172533	1	53	54	52
Sun May 22 00:35:27 2022	1653172527	1	54	54	53
Sun May 22 00:35:17 2022	1653172517	1	53	54	53
Sun May 22 00:34:49 2022	1653172489	1	54	54	53
Sun May 22 00:35:21 2022	1653172521	1	54	54	50
Sun May 22 00:34:59 2022	1653172499	5	49	54	49
Sun May 22 00:34:53 2022	1653172493	2	53	54	51
Sun May 22 00:34:37 2022	1653172477	1	54	54	51
Sun May 22 00:35:12 2022	1653172512	1	53	54	53
Sun May 22 00:35:22 2022	1653172522	1	54	54	53
Sun May 22 00:35:32 2022	1653172532	1	53	54	53
Sun May 22 00:35:17 2022	1653172517	1	54	54	52
Sun May 22 00:34:53 2022	1653172493	1	54	54	53
Sun May 22 00:34:56 2022	1653172496	1	53	54	52
Sun May 22 00:34:50 2022	1653172490	1	53	54	52
Sun May 22 00:35:13 2022	1653172513	1	53	54	53
Sun May 22 00:35:12 2022	1653172512	1	54	54	53
Sun May 22 00:35:23 2022	1653172523	1	53	54	47
Sun May 22 00:34:43 2022	1653172483	4	50	54	46
Sun May 22 00:35:04 2022	1653172504	1	54	54	53
Sun May 22 00:34:47 2022	1653172487	1	54	54	53
Sun May 22 00:34:41 2022	1653172481	0	54	54	53
Sun May 22 00:35:06 2022	1653172506	1	54	54	53
Sun May 22 00:34:48 2022	1653172488	1	54	54	53
Sun May 22 00:35:24 2022	1653172524	1	54	54	53
Sun May 22 00:34:47 2022	1653172487	1	54	54	53
Sun May 22 00:34:59 2022	1653172499	1	54	54	53
Sun May 22 00:35:14 2022	1653172514	1	54	54	53
Sun May 22 00:34:54 2022	1653172494	1	54	54	53
Sun May 22 00:35:31 2022	1653172531	1	54	54	53
Sun May 22 00:34:52 2022	1653172492	1	54	54	53
Sun May 22 00:35:15 2022	1653172515	1	54	54	53
Sun May 22 00:34:56 2022	1653172496	1	54	54	52
Sun May 22 00:34:47 2022	1653172487	1	54	55	52
Sun May 22 00:34:42 2022	1653172482	1	53	55	52
Sun May 22 00:35:16 2022	1653172516	1	54	55	53
Sun May 22 00:35:01 2022	1653172501	1	54	55	53
Sun May 22 00:35:32 2022	1653172532	1	54	55	53
